,Term,is_about_nationality,is_about_ethnicity,is_about_religion,is_about_gender,is_about_sexual_orientation,is_about_disability,is_about_class
0,mudslime,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,muslimette,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2,sand apes,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,sand ape,0.0,1.0,1.0,0.0,0.0,0.0,0.0
4,porki,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5,halalability,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6,halalification,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7,muzrat,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8,muzrats,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9,Osamas,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10,Osama,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11,hodgie,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12,hodgies,0.0,0.0,1.0,0.0,0.0,0.0,0.0
13,mongoloids,0.0,1.0,0.0,0.0,0.0,1.0,0.0
14,mongoloid,0.0,1.0,0.0,0.0,0.0,1.0,0.0
15,mutah,0.0,0.0,1.0,0.0,0.0,0.0,0.0
16,muttah,0.0,0.0,1.0,0.0,0.0,0.0,0.0
17,halala,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18,FGM,0.0,0.0,1.0,1.0,0.0,0.0,0.0
19,QuranoVirus,0.0,0.0,1.0,0.0,0.0,0.0,0.0
20,JihadiVirus,0.0,0.0,1.0,0.0,0.0,0.0,0.0
21,Covid786,0.0,0.0,1.0,0.0,0.0,0.0,0.0
22,CoronaJihad,0.0,0.0,1.0,0.0,0.0,0.0,0.0
23,porkistani,0.0,0.0,1.0,0.0,0.0,0.0,0.0
24,taqiyya,0.0,0.0,1.0,0.0,0.0,0.0,0.0
25,dhimmi,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26,ninja,0.0,0.0,1.0,0.0,0.0,0.0,0.0
27,Chuslim,0.0,0.0,1.0,0.0,0.0,0.0,0.0
28,Paedo,0.0,0.0,1.0,0.0,0.0,0.0,0.0
29,lobby gay,0.0,0.0,0.0,0.0,1.0,0.0,0.0
30,sandnigger,0.0,1.0,0.0,0.0,0.0,0.0,0.0
31,Bengali,1.0,1.0,1.0,0.0,0.0,0.0,0.0
32,rapefugees,0.0,0.0,0.0,0.0,0.0,0.0,1.0
33,Girl,0.0,0.0,0.0,1.0,0.0,0.0,0.0
34,whitie,0.0,1.0,0.0,0.0,0.0,0.0,0.0
35,fish wagon,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36,skank,0.0,0.0,0.0,1.0,0.0,0.0,0.0
37,gun burglar,0.0,1.0,0.0,0.0,0.0,0.0,0.0
38,gun burglars,0.0,1.0,0.0,0.0,0.0,0.0,0.0
39,kanaka,0.0,1.0,0.0,0.0,0.0,0.0,0.0
40,cracker,0.0,1.0,0.0,0.0,0.0,0.0,1.0
41,ABCs,1.0,1.0,0.0,0.0,0.0,0.0,0.0
42,ABC,1.0,1.0,0.0,0.0,0.0,0.0,0.0
43,rube,0.0,0.0,0.0,0.0,0.0,0.0,1.0
44,whoriental,0.0,1.0,0.0,1.0,0.0,0.0,0.0
45,whorientals,0.0,1.0,0.0,1.0,0.0,0.0,0.0
46,hoosier,0.0,0.0,0.0,0.0,0.0,0.0,1.0
47,hooknoses,0.0,1.0,1.0,0.0,0.0,0.0,0.0
48,hooknosed,0.0,1.0,1.0,0.0,0.0,0.0,0.0
49,hooknose,0.0,1.0,1.0,0.0,0.0,0.0,0.0
50,dagowops,1.0,1.0,0.0,0.0,0.0,0.0,0.0
51,dagowop,1.0,1.0,0.0,0.0,0.0,0.0,0.0
52,chimp-outs,0.0,1.0,0.0,0.0,0.0,0.0,0.0
53,bean bandit,0.0,1.0,0.0,0.0,0.0,0.0,0.0
54,bean bandits,0.0,1.0,0.0,0.0,0.0,0.0,0.0
55,lipstick lesbians,0.0,0.0,0.0,0.0,1.0,0.0,0.0
56,libtard,0.0,0.0,0.0,0.0,0.0,1.0,0.0
57,jihadi-americans,0.0,1.0,1.0,0.0,0.0,0.0,0.0
58,jihadi-american,0.0,1.0,1.0,0.0,0.0,0.0,0.0
59,gyppoes,0.0,1.0,0.0,0.0,0.0,0.0,0.0
60,gypoes,0.0,1.0,0.0,0.0,0.0,0.0,0.0
61,gooky eyes,0.0,1.0,0.0,0.0,0.0,0.0,0.0
62,gooklets,0.0,1.0,0.0,0.0,0.0,0.0,0.0
63,gooklet,0.0,1.0,0.0,0.0,0.0,0.0,0.0
64,gookettes,0.0,1.0,0.0,1.0,0.0,0.0,0.0
65,gookette,0.0,1.0,0.0,0.0,0.0,0.0,0.0
66,gook eyed,0.0,1.0,0.0,0.0,0.0,0.0,0.0
67,ghetto monkeys,0.0,1.0,0.0,0.0,0.0,0.0,0.0
68,ghetto monkey,0.0,1.0,0.0,0.0,0.0,0.0,0.0
69,filthypinos,1.0,0.0,0.0,0.0,0.0,0.0,0.0
70,filthypinoes,1.0,0.0,0.0,0.0,0.0,0.0,0.0
71,filthypino,1.0,0.0,0.0,0.0,0.0,0.0,0.0
72,deminigger,0.0,1.0,0.0,0.0,0.0,0.0,0.0
73,deminiggers,0.0,1.0,0.0,0.0,0.0,0.0,0.0
74,seminigger,0.0,1.0,0.0,0.0,0.0,0.0,0.0
75,seminiggers,0.0,1.0,0.0,0.0,0.0,0.0,0.0
76,canniglets,1.0,1.0,0.0,0.0,0.0,0.0,0.0
77,canigglet,1.0,1.0,0.0,0.0,0.0,0.0,0.0
78,caniggers,1.0,1.0,0.0,0.0,0.0,0.0,0.0
79,canigger,1.0,1.0,0.0,0.0,0.0,0.0,0.0
80,cairo coons,1.0,1.0,0.0,0.0,0.0,0.0,0.0
81,cairo coon,1.0,1.0,0.0,0.0,0.0,0.0,0.0
82,bushniglets,0.0,1.0,0.0,0.0,0.0,0.0,0.0
83,bushniglet,0.0,1.0,0.0,0.0,0.0,0.0,0.0
84,bushniggers,0.0,1.0,0.0,0.0,0.0,0.0,0.0
85,bushnigger,0.0,1.0,0.0,0.0,0.0,0.0,0.0
86,bush bandits,0.0,1.0,0.0,0.0,0.0,0.0,0.0
87,bush bandit,0.0,1.0,0.0,0.0,0.0,0.0,0.0
88,border bandits,1.0,1.0,0.0,0.0,0.0,0.0,0.0
89,border banditos,1.0,1.0,0.0,0.0,0.0,0.0,0.0
90,border bandit,1.0,1.0,0.0,0.0,0.0,0.0,0.0
91,border banditoes,1.0,1.0,0.0,0.0,0.0,0.0,0.0
92,african't,0.0,1.0,0.0,0.0,0.0,0.0,1.0
93,african'ts,0.0,1.0,0.0,0.0,0.0,0.0,1.0
94,WASPy,0.0,1.0,0.0,0.0,0.0,0.0,0.0
95,Uncle Tom,0.0,1.0,0.0,0.0,0.0,0.0,0.0
96,jewtarded,0.0,1.0,1.0,0.0,0.0,1.0,0.0
97,jigaboo,0.0,1.0,0.0,0.0,0.0,0.0,0.0
98,jewtard,0.0,1.0,1.0,0.0,0.0,1.0,0.0
99,cunt,0.0,0.0,0.0,1.0,0.0,0.0,0.0
100,twat,0.0,0.0,0.0,1.0,0.0,0.0,0.0
101,spicks,0.0,1.0,0.0,0.0,0.0,0.0,0.0
102,mud ducks,0.0,1.0,0.0,0.0,0.0,0.0,0.0
103,mangia cakes,0.0,1.0,0.0,0.0,0.0,0.0,0.0
104,lawn jockeys,0.0,1.0,0.0,0.0,0.0,0.0,0.0
105,limey,1.0,0.0,0.0,0.0,0.0,0.0,0.0
106,limeys,1.0,0.0,0.0,0.0,0.0,0.0,0.0
107,honky,0.0,1.0,0.0,0.0,0.0,0.0,0.0
108,honkey,0.0,1.0,0.0,0.0,0.0,0.0,0.0
109,hebes,0.0,1.0,1.0,0.0,0.0,0.0,0.0
110,hillbillies,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,hayseed,0.0,0.0,0.0,0.0,0.0,0.0,1.0
112,half breeds,0.0,1.0,0.0,0.0,0.0,0.0,0.0
113,greaseball,1.0,1.0,0.0,0.0,0.0,0.0,0.0
114,gypped,0.0,1.0,0.0,0.0,0.0,0.0,0.0
115,gyp,0.0,1.0,0.0,0.0,0.0,0.0,0.0
116,dot heads,1.0,1.0,0.0,0.0,0.0,0.0,0.0
117,whores,0.0,0.0,0.0,1.0,0.0,0.0,0.0
118,whore,0.0,0.0,0.0,1.0,0.0,0.0,0.0
119,mammy,0.0,1.0,0.0,1.0,0.0,0.0,0.0
120,muslamic,0.0,0.0,1.0,0.0,0.0,0.0,0.0
121,gypsy,0.0,1.0,0.0,0.0,0.0,0.0,0.0
122,gypsies,0.0,1.0,0.0,0.0,0.0,0.0,0.0
123,gyps,0.0,1.0,0.0,0.0,0.0,0.0,0.0
124,yokels,0.0,1.0,0.0,0.0,0.0,0.0,0.0
125,yokel,0.0,1.0,0.0,0.0,0.0,0.0,0.0
126,yellow bone,0.0,1.0,0.0,0.0,0.0,0.0,0.0
127,red bone,0.0,1.0,0.0,0.0,0.0,0.0,0.0
128,white trash,0.0,1.0,0.0,0.0,0.0,0.0,1.0
129,trailer trash,0.0,1.0,0.0,0.0,0.0,0.0,1.0
130,trailer park trash,0.0,1.0,0.0,0.0,0.0,0.0,1.0
131,shyster,0.0,1.0,0.0,0.0,0.0,0.0,0.0
132,shysters,0.0,1.0,0.0,0.0,0.0,0.0,0.0
133,sheister,0.0,1.0,0.0,0.0,0.0,0.0,0.0
134,sheisters,0.0,1.0,0.0,0.0,0.0,0.0,0.0
135,peckerwood,0.0,1.0,0.0,0.0,0.0,0.0,0.0
136,sheepfucker,1.0,0.0,0.0,0.0,0.0,0.0,1.0
137,niggah,0.0,1.0,0.0,0.0,0.0,0.0,0.0
138,nigga,0.0,1.0,0.0,0.0,0.0,0.0,0.0
139,niggahs,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140,niggas,0.0,1.0,0.0,0.0,0.0,0.0,0.0
141,newfies,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,newfie,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,hosers,1.0,0.0,0.0,0.0,0.0,0.0,1.0
144,hillbilly,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,eurotrash,0.0,1.0,0.0,0.0,0.0,0.0,0.0
146,dyke,0.0,0.0,0.0,1.0,1.0,0.0,0.0
147,slut,0.0,0.0,0.0,1.0,0.0,0.0,0.0
148,sluts,0.0,0.0,0.0,1.0,0.0,0.0,0.0
149,spinks,1.0,1.0,0.0,0.0,0.0,0.0,0.0
150,mooks,1.0,1.0,0.0,0.0,0.0,0.0,0.0
151,mook,1.0,1.0,0.0,0.0,0.0,0.0,0.0
152,krauts,1.0,0.0,0.0,0.0,0.0,0.0,0.0
153,jiggs,0.0,1.0,0.0,0.0,0.0,0.0,0.0
154,jigg,0.0,1.0,0.0,0.0,0.0,0.0,0.0
155,jiggers,0.0,1.0,0.0,0.0,0.0,0.0,0.0
156,jigger,0.0,1.0,0.0,0.0,0.0,0.0,0.0
157,jiggas,0.0,1.0,0.0,0.0,0.0,0.0,0.0
158,jigga,0.0,1.0,0.0,0.0,0.0,0.0,0.0
159,hebe,0.0,1.0,1.0,0.0,0.0,0.0,0.0
160,half breed,0.0,1.0,0.0,0.0,0.0,0.0,0.0
161,eshay,1.0,0.0,0.0,0.0,0.0,0.0,1.0
162,eshays,1.0,0.0,0.0,0.0,0.0,0.0,1.0
163,Gwats,1.0,0.0,0.0,0.0,0.0,0.0,0.0
164,Gwat,1.0,0.0,0.0,0.0,0.0,0.0,0.0
165,gub,0.0,1.0,0.0,0.0,0.0,0.0,0.0
166,gubs,0.0,1.0,0.0,0.0,0.0,0.0,0.0
167,buffies,0.0,1.0,0.0,0.0,0.0,0.0,0.0
168,pussy,0.0,0.0,0.0,1.0,0.0,0.0,0.0
169,niggers,0.0,1.0,0.0,0.0,0.0,0.0,0.0
170,nigger,0.0,1.0,0.0,0.0,0.0,0.0,0.0
171,hoser,1.0,0.0,0.0,0.0,0.0,0.0,1.0
172,gorillla,0.0,1.0,0.0,0.0,0.0,0.0,0.0
173,meatball patriots,0.0,1.0,0.0,0.0,0.0,0.0,0.0
174,meatball patriot,0.0,1.0,0.0,0.0,0.0,0.0,0.0
175,feminazis,0.0,0.0,0.0,1.0,0.0,0.0,0.0
176,feminazi,0.0,0.0,0.0,1.0,0.0,0.0,0.0
177,6 gorillion,0.0,1.0,0.0,0.0,0.0,0.0,0.0
178,mocks,0.0,1.0,0.0,0.0,0.0,0.0,0.0
179,injun,0.0,1.0,0.0,0.0,0.0,0.0,0.0
180,Anglo Fool,0.0,0.0,0.0,0.0,0.0,0.0,1.0
181,boujees,0.0,0.0,0.0,0.0,0.0,0.0,1.0
182,boujee,0.0,0.0,0.0,0.0,0.0,0.0,1.0
183,floppies,0.0,1.0,0.0,0.0,0.0,0.0,0.0
184,floppy,0.0,1.0,0.0,0.0,0.0,0.0,0.0
185,nigger-rig,0.0,1.0,0.0,0.0,0.0,0.0,0.0
186,half bred,0.0,1.0,0.0,0.0,0.0,0.0,0.0
187,gookies,0.0,1.0,0.0,0.0,0.0,0.0,0.0
188,gookie,1.0,1.0,0.0,0.0,0.0,0.0,0.0
189,goloids,0.0,1.0,0.0,0.0,0.0,0.0,0.0
190,goloid,0.0,1.0,0.0,0.0,0.0,0.0,0.0
191,ginks,0.0,1.0,0.0,0.0,0.0,0.0,0.0
192,gink,0.0,1.0,0.0,0.0,0.0,0.0,0.0
193,gas huffers,0.0,1.0,0.0,0.0,0.0,0.0,0.0
194,gas huffer,0.0,1.0,0.0,0.0,0.0,0.0,0.0
195,featherheads,0.0,1.0,0.0,0.0,0.0,0.0,0.0
196,featherhead,0.0,1.0,0.0,0.0,0.0,0.0,0.0
197,border bandito,1.0,1.0,0.0,0.0,0.0,0.0,0.0
198,boogats,0.0,1.0,0.0,0.0,0.0,0.0,0.0
199,boogat,0.0,1.0,0.0,0.0,0.0,0.0,0.0
200,dog eaters,0.0,1.0,0.0,0.0,0.0,0.0,0.0
201,dog eater,0.0,1.0,0.0,0.0,0.0,0.0,0.0
202,alboes,1.0,1.0,0.0,0.0,0.0,0.0,0.0
203,albos,1.0,1.0,0.0,0.0,0.0,0.0,0.0
204,albo,1.0,1.0,0.0,0.0,0.0,0.0,0.0
205,jipsi,0.0,1.0,0.0,0.0,0.0,0.0,0.0
206,gypsi,0.0,1.0,0.0,0.0,0.0,0.0,0.0
207,Chad Thundercocks,0.0,0.0,0.0,1.0,0.0,0.0,0.0
208,Chads,0.0,0.0,0.0,1.0,0.0,0.0,0.0
209,Chad Thundercock,0.0,0.0,0.0,1.0,0.0,0.0,0.0
210,Chad,0.0,0.0,0.0,1.0,0.0,0.0,0.0
211,bimbo,0.0,0.0,0.0,1.0,0.0,0.0,0.0
212,himbo,0.0,0.0,0.0,1.0,0.0,0.0,0.0
213,machosexual,0.0,0.0,0.0,1.0,0.0,0.0,0.0
214,gopniks,0.0,0.0,0.0,0.0,0.0,0.0,1.0
215,skeets,0.0,0.0,0.0,0.0,0.0,0.0,1.0
216,skeet,0.0,0.0,0.0,0.0,0.0,0.0,1.0
217,dresiarz,0.0,0.0,0.0,0.0,0.0,0.0,1.0
218,dres,0.0,0.0,0.0,0.0,0.0,0.0,1.0
219,gopnik,0.0,0.0,0.0,0.0,0.0,0.0,1.0
220,Freḥa,0.0,0.0,0.0,0.0,0.0,0.0,1.0
221,arsit,0.0,0.0,0.0,0.0,0.0,0.0,1.0
222,arsim,0.0,0.0,0.0,0.0,0.0,0.0,1.0
223,ars,0.0,0.0,0.0,0.0,0.0,0.0,1.0
224,Sloane Rangers,0.0,0.0,0.0,0.0,0.0,0.0,1.0
225,Sloane Ranger,0.0,0.0,0.0,0.0,0.0,0.0,1.0
226,Hoorah Henriettas,0.0,0.0,0.0,0.0,0.0,0.0,1.0
227,Hoorah Henrietta,0.0,0.0,0.0,0.0,0.0,0.0,1.0
228,Hooray Henriettas,0.0,0.0,0.0,0.0,0.0,0.0,1.0
229,Hooray Henrietta,0.0,0.0,0.0,0.0,0.0,0.0,1.0
230,Hoorah Henries,0.0,0.0,0.0,0.0,0.0,0.0,1.0
231,Hoorah Henry,0.0,0.0,0.0,0.0,0.0,0.0,1.0
232,Hooray Henries,0.0,0.0,0.0,0.0,0.0,0.0,1.0
233,Hooray Henry,0.0,0.0,0.0,0.0,0.0,0.0,1.0
234,toffs,0.0,0.0,0.0,0.0,0.0,0.0,1.0
235,toff,0.0,0.0,0.0,0.0,0.0,0.0,1.0
236,gey,0.0,0.0,0.0,0.0,1.0,0.0,0.0
237,yellow cabs,1.0,1.0,0.0,1.0,0.0,0.0,0.0
238,yellow cab,1.0,1.0,0.0,1.0,0.0,0.0,0.0
239,lipstick lesbian,0.0,0.0,0.0,0.0,1.0,0.0,0.0
240,zhidovka,0.0,1.0,0.0,0.0,0.0,0.0,0.0
241,zhydovka,0.0,1.0,0.0,0.0,0.0,0.0,0.0
242,zhid,0.0,1.0,0.0,0.0,0.0,0.0,0.0
