,Term,is_about_nationality,is_about_ethnicity,is_about_religion,is_about_gender,is_about_sexual_orientation,is_about_disability,is_about_class
243,zhyd,0.0,1.0,0.0,0.0,0.0,0.0,0.0
244,virago,0.0,0.0,0.0,1.0,0.0,0.0,0.0
245,cock tease,0.0,0.0,0.0,1.0,0.0,0.0,0.0
246,Beckies,0.0,0.0,0.0,1.0,0.0,0.0,0.0
247,Beckys,0.0,0.0,0.0,1.0,0.0,0.0,0.0
248,Becky,0.0,0.0,0.0,1.0,0.0,0.0,0.0
249,bull dykes,0.0,0.0,0.0,0.0,1.0,0.0,0.0
250,bull dyke,0.0,0.0,0.0,0.0,1.0,0.0,0.0
251,lavender mafia,0.0,0.0,0.0,0.0,1.0,0.0,0.0
252,velvet mafia,0.0,0.0,0.0,0.0,1.0,0.0,0.0
253,gay mafia,0.0,0.0,0.0,0.0,1.0,0.0,0.0
254,Homintern,0.0,0.0,0.0,0.0,1.0,0.0,0.0
255,batimen,0.0,0.0,0.0,0.0,1.0,0.0,0.0
256,batiman,0.0,0.0,0.0,0.0,1.0,0.0,0.0
257,battymen,0.0,0.0,0.0,0.0,1.0,0.0,0.0
258,battyman,0.0,0.0,0.0,0.0,1.0,0.0,0.0
259,chi chi bwoys,0.0,0.0,0.0,0.0,1.0,0.0,0.0
260,chi chi bwoy,0.0,0.0,0.0,0.0,1.0,0.0,0.0
261,chi chi men,0.0,0.0,0.0,0.0,1.0,0.0,0.0
262,chi chi man,0.0,0.0,0.0,0.0,1.0,0.0,0.0
263,batty men,0.0,0.0,0.0,0.0,1.0,0.0,0.0
264,batty man,0.0,0.0,0.0,0.0,1.0,0.0,0.0
265,batty bwoys,0.0,0.0,0.0,0.0,1.0,0.0,0.0
266,batty bwoy,0.0,0.0,0.0,0.0,1.0,0.0,0.0
267,batty boys,0.0,0.0,0.0,0.0,1.0,0.0,0.0
268,batty boy,0.0,0.0,0.0,0.0,1.0,0.0,0.0
269,papishers,0.0,0.0,1.0,0.0,0.0,0.0,0.0
270,papisher,0.0,0.0,1.0,0.0,0.0,0.0,0.0
271,gingettes,0.0,1.0,0.0,0.0,0.0,0.0,0.0
272,gingette,0.0,1.0,0.0,0.0,0.0,0.0,0.0
273,good goys,0.0,1.0,0.0,0.0,0.0,0.0,0.0
274,gheys,0.0,0.0,0.0,0.0,1.0,0.0,0.0
275,fruities,0.0,0.0,0.0,0.0,1.0,0.0,0.0
276,flipettes,1.0,0.0,0.0,0.0,0.0,0.0,0.0
277,flipette,1.0,0.0,0.0,0.0,0.0,0.0,0.0
278,fagdicks,0.0,0.0,0.0,0.0,1.0,0.0,0.0
279,fagdick,0.0,0.0,0.0,0.0,1.0,0.0,0.0
280,fagshits,0.0,0.0,0.0,0.0,1.0,0.0,0.0
281,fagshit,0.0,0.0,0.0,0.0,1.0,0.0,0.0
282,dinkladies,1.0,1.0,0.0,1.0,0.0,0.0,0.0
283,dinklady,1.0,1.0,0.0,1.0,0.0,0.0,0.0
284,durka durkas,0.0,1.0,1.0,0.0,0.0,0.0,0.0
285,durka durka,0.0,1.0,1.0,0.0,0.0,0.0,0.0
286,derka derkas,0.0,1.0,1.0,0.0,0.0,0.0,0.0
287,degettes,0.0,1.0,0.0,1.0,0.0,0.0,0.0
288,degette,0.0,1.0,0.0,1.0,0.0,0.0,0.0
289,dagettes,0.0,1.0,0.0,1.0,0.0,0.0,0.0
290,dagette,0.0,1.0,0.0,0.0,0.0,0.0,0.0
291,closet dykes,0.0,0.0,0.0,0.0,1.0,0.0,0.0
292,closet dyke,0.0,0.0,0.0,0.0,1.0,0.0,0.0
293,black dagoes,1.0,1.0,0.0,0.0,0.0,0.0,0.0
294,border baby,0.0,1.0,0.0,0.0,0.0,0.0,0.0
295,border babies,0.0,1.0,0.0,0.0,0.0,0.0,0.0
296,chavettes,0.0,0.0,0.0,0.0,0.0,0.0,1.0
297,chavette,0.0,0.0,0.0,0.0,0.0,0.0,1.0
298,carrot snaps,0.0,0.0,1.0,0.0,0.0,0.0,1.0
299,carrot snap,0.0,0.0,1.0,0.0,0.0,0.0,1.0
300,buckrettes,0.0,1.0,0.0,0.0,0.0,0.0,0.0
301,buckrette,0.0,1.0,0.0,0.0,0.0,0.0,0.0
302,gingies,0.0,1.0,0.0,0.0,0.0,0.0,0.0
303,gingie,0.0,1.0,0.0,0.0,0.0,0.0,0.0
304,gingy,0.0,1.0,0.0,0.0,0.0,0.0,0.0
305,gasher,0.0,0.0,0.0,1.0,0.0,0.0,0.0
306,fruity,0.0,0.0,0.0,0.0,1.0,0.0,0.0
307,cunter,0.0,0.0,0.0,1.0,0.0,0.0,0.0
308,chimp packs,0.0,1.0,0.0,0.0,0.0,0.0,0.0
309,Charly,1.0,1.0,0.0,0.0,0.0,0.0,0.0
310,Charlies,1.0,1.0,0.0,0.0,0.0,0.0,0.0
311,buffy,0.0,1.0,0.0,0.0,0.0,0.0,0.0
312,buckers,0.0,1.0,0.0,0.0,0.0,0.0,0.0
313,bucker,0.0,1.0,0.0,0.0,0.0,0.0,0.0
314,ban and can,1.0,0.0,0.0,0.0,0.0,0.0,0.0
315,cans and bans,1.0,0.0,0.0,0.0,0.0,0.0,0.0
316,can and ban,1.0,0.0,0.0,0.0,0.0,0.0,0.0
317,Annies,0.0,1.0,0.0,0.0,0.0,0.0,0.0
318,cohees,1.0,0.0,0.0,0.0,0.0,0.0,1.0
319,cohee,1.0,0.0,0.0,0.0,0.0,0.0,1.0
320,yellowhammer,1.0,0.0,0.0,0.0,0.0,0.0,1.0
321,Okies,1.0,0.0,0.0,0.0,0.0,0.0,1.0
322,Okie,1.0,0.0,0.0,0.0,0.0,0.0,0.0
323,Massholes,1.0,0.0,0.0,0.0,0.0,0.0,0.0
324,Masshole,1.0,0.0,0.0,0.0,0.0,0.0,0.0
325,Madrasi,1.0,0.0,0.0,0.0,0.0,0.0,0.0
326,JAFAs,1.0,0.0,0.0,0.0,0.0,0.0,0.0
327,JAFA,1.0,0.0,0.0,0.0,0.0,0.0,0.0
328,jackeens,1.0,1.0,0.0,0.0,0.0,0.0,1.0
329,jackeen,1.0,1.0,0.0,0.0,0.0,0.0,1.0
330,culchies,1.0,1.0,0.0,0.0,0.0,0.0,1.0
331,culchie,1.0,1.0,0.0,0.0,0.0,0.0,1.0
332,croweaters,1.0,0.0,0.0,0.0,0.0,0.0,0.0
333,croweater,1.0,0.0,0.0,0.0,0.0,0.0,0.0
334,Biharis,1.0,1.0,0.0,0.0,0.0,0.0,0.0
335,Bihari,1.0,1.0,0.0,0.0,0.0,0.0,0.0
336,hatzis,0.0,1.0,0.0,0.0,0.0,0.0,0.0
337,hatzi,0.0,1.0,0.0,0.0,0.0,0.0,0.0
338,hajjis,0.0,1.0,0.0,0.0,0.0,0.0,0.0
339,hajis,0.0,1.0,0.0,0.0,0.0,0.0,0.0
340,hadjis,0.0,1.0,0.0,0.0,0.0,0.0,0.0
341,hajji,0.0,1.0,0.0,0.0,0.0,0.0,0.0
342,haji,0.0,1.0,0.0,0.0,0.0,0.0,0.0
343,hadji,0.0,1.0,0.0,0.0,0.0,0.0,0.0
344,mussies,0.0,0.0,1.0,0.0,0.0,0.0,0.0
345,mussie,0.0,0.0,1.0,0.0,0.0,0.0,0.0
346,Fenians,1.0,1.0,1.0,0.0,0.0,0.0,0.0
347,Fenian,1.0,1.0,1.0,0.0,0.0,0.0,0.0
348,da goyim know,0.0,1.0,0.0,0.0,0.0,0.0,0.0
349,the goyim know,0.0,1.0,0.0,0.0,0.0,0.0,0.0
350,good goy,0.0,1.0,0.0,0.0,0.0,0.0,0.0
351,jigros,0.0,1.0,0.0,0.0,0.0,0.0,0.0
352,pickinninys,0.0,1.0,0.0,0.0,0.0,0.0,0.0
353,piccaninnys,0.0,1.0,0.0,0.0,0.0,0.0,0.0
354,piccaninnies,0.0,1.0,0.0,0.0,0.0,0.0,0.0
355,picaninnys,0.0,1.0,0.0,0.0,0.0,0.0,0.0
356,pickaninnies,0.0,1.0,0.0,0.0,0.0,0.0,0.0
357,pickinninies,0.0,1.0,0.0,0.0,0.0,0.0,0.0
358,pickinniny,0.0,1.0,0.0,0.0,0.0,0.0,0.0
359,piccaninny,0.0,1.0,0.0,0.0,0.0,0.0,0.0
360,picaninnies,0.0,1.0,0.0,0.0,0.0,0.0,0.0
361,picaninny,0.0,1.0,0.0,0.0,0.0,0.0,0.0
362,Zio,1.0,1.0,1.0,0.0,0.0,0.0,0.0
363,tynker,0.0,1.0,0.0,0.0,0.0,0.0,0.0
364,tree jumper,0.0,0.0,0.0,0.0,0.0,0.0,1.0
365,tinkar,0.0,1.0,0.0,0.0,0.0,0.0,0.0
366,tinkere,0.0,1.0,0.0,0.0,0.0,0.0,0.0
367,tincker,0.0,1.0,0.0,0.0,0.0,0.0,0.0
368,spink,1.0,1.0,0.0,0.0,0.0,0.0,0.0
369,spik,0.0,1.0,0.0,0.0,0.0,0.0,0.0
370,spig,0.0,1.0,0.0,0.0,0.0,0.0,0.0
371,spick,0.0,1.0,0.0,0.0,0.0,0.0,0.0
372,spaz,0.0,0.0,0.0,0.0,0.0,1.0,0.0
373,smoke jumper,0.0,1.0,0.0,0.0,0.0,0.0,0.0
374,slopey,0.0,1.0,0.0,0.0,0.0,0.0,0.0
375,slags,0.0,0.0,0.0,0.0,0.0,0.0,1.0
376,shit kicker,0.0,0.0,0.0,0.0,0.0,0.0,1.0
377,shit heel,0.0,1.0,0.0,0.0,0.0,0.0,0.0
378,shant,1.0,0.0,0.0,0.0,0.0,0.0,1.0
379,seppo,1.0,0.0,0.0,0.0,0.0,0.0,0.0
380,sawney,1.0,0.0,0.0,0.0,0.0,0.0,0.0
381,rubes,0.0,0.0,0.0,0.0,0.0,0.0,1.0
382,poppadom,0.0,1.0,0.0,0.0,0.0,0.0,0.0
383,nitchy,0.0,1.0,0.0,0.0,0.0,0.0,0.0
384,nichiwa,0.0,1.0,0.0,0.0,0.0,0.0,0.0
385,negro,0.0,1.0,0.0,0.0,0.0,0.0,0.0
386,neejee,0.0,1.0,0.0,0.0,0.0,0.0,0.0
387,nitchie,0.0,1.0,0.0,0.0,0.0,0.0,0.0
388,neechee,0.0,1.0,0.0,0.0,0.0,0.0,0.0
389,mong,0.0,0.0,0.0,0.0,0.0,1.0,0.0
390,sheeny,0.0,1.0,0.0,0.0,0.0,0.0,0.0
391,niggerdick,0.0,1.0,0.0,0.0,0.0,0.0,0.0
392,niggerdicks,0.0,1.0,0.0,0.0,0.0,0.0,0.0
393,niggerton,0.0,1.0,0.0,0.0,0.0,0.0,0.0
394,niggertown,0.0,1.0,0.0,0.0,0.0,0.0,0.0
